Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total (£)
Ministry of Defence,Ministry of Defence,02/03/2012,Payment of utilities,Land Forces,PACE FUELCARE LIMITED,TW20 9AB,908578,Utilities consumed - heating oil,"12,306.59"
Ministry of Defence,Ministry of Defence,16/03/2012,Food and clothing,Defence Infrastructure Organisation ,AVENANCE PLC,SK11 6ET,914435,Cost of clothing and textile services received,"12,300.32"
Ministry of Defence,Ministry of Defence,08/03/2012,Spend on Inventory - General,Defence Equipment & Support,SPANSET LIMITED,CW10 0HX,911440,Spend on Inventory - General,"12,298.36"
Ministry of Defence,Ministry of Defence,07/03/2012,Spend on Inventory - General,Command Joint Operations,BUNZL UK LIMITED,KT19 8TY,910403,Spend on Inventory - General,"12,231.90"
Ministry of Defence,Ministry of Defence,29/03/2012,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,MAN DIESEL & TURBO UK LIMITED,SK7 5BP,920418,Raw materials and consumable engineering and technical fiscal inventory purchased,"12,206.05"
Ministry of Defence,Ministry of Defence,21/03/2012,Fuel for military use,Air Command,WATSON PETROLEUM LTD,SN15 5DN,916899,Oil and lubricants consumed excluding those from the inventory system,"12,188.36"
Ministry of Defence,Ministry of Defence,30/03/2012,Spend on Inventory - General,Defence Equipment & Support,NORTHERN DIVER (INTERNATIONAL) LTD,WN6 9AE,921460,Spend on Inventory - General,"12,182.40"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of buildings and military equipment ,Defence Equipment & Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 3LS,917577,Fiscal asset under construction - capital in year addition,"12,159.00"
Ministry of Defence,Ministry of Defence,19/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,PO12 2AG,915506,Equipment support non-project costs,"12,157.78"
Ministry of Defence,Ministry of Defence,19/03/2012,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,915044,Works - estate management,"12,140.52"
Ministry of Defence,Ministry of Defence,05/03/2012,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,908879,Feasibility studies covering concept/assessment phase costs,"12,136.84"
Ministry of Defence,Ministry of Defence,20/03/2012,Food and clothing,Central TLB,SODEXO LTD,M50 0AL,916122,Cost of food services,"12,122.78"
Ministry of Defence,Ministry of Defence,22/03/2012,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,917402,Cost of food purchases,"12,043.20"
Ministry of Defence,Ministry of Defence,29/03/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,920111,Cost of other material consumed,"11,997.00"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,909303,Cost of other material consumed,"11,991.07"
Ministry of Defence,Ministry of Defence,22/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,917084,Freight movement costs,"11,977.63"
Ministry of Defence,Ministry of Defence,19/03/2012,Medical treatment & stores and welfare services,Command Joint Operations,HAYS SPECIALIST RECRUITMENT LIMITED,SW1W 0NT,10238,Medical health services,"11,940.29"
Ministry of Defence,Ministry of Defence,09/03/2012,Fees for professional services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,911645,Fees for professional services excluding legal fees,"11,936.19"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of inventory and services ,Defence Equipment & Support,CORPORATE DOCUMENT SERVICES  LIMITED,LS2 7LY,908868,Cost of other material consumed,"11,853.48"
Ministry of Defence,Ministry of Defence,14/03/2012,IT and communication services,Defence Equipment & Support,SERCO LIMITED,RG27 9UY,913688,Information technology services,"11,853.00"
Ministry of Defence,Ministry of Defence,14/03/2012,Purchase of inventory and services ,Central TLB,SERCO LIMITED,RG27 9UY,913688,Cost of other material consumed,"11,848.57"
Ministry of Defence,Ministry of Defence,15/03/2012,Payment of utilities,Land Forces,SSE ENERGY SUPPLY LIMITED,PH1 3AQ,914301,Utilities consumed - electricity,"11,830.38"
Ministry of Defence,Ministry of Defence,05/03/2012,Spend on Inventory - General,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,908844,Spend on Inventory - General,"11,809.44"
Ministry of Defence,Ministry of Defence,07/03/2012,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DSV AIR & SEA LIMITED,M22 4NY,910489,Freight movement costs,"11,794.48"
Ministry of Defence,Ministry of Defence,23/03/2012,Design services and minor equipment purchases,Air Command,OCEAN SKY CORPORATE LIMITED,KA9 2PQ,917980,Equipment support non-project costs,"11,765.20"
Ministry of Defence,Ministry of Defence,15/03/2012,Spend on Inventory - General,Defence Equipment & Support,ANSELL JONES MARINE SERVICES LTD.,PA5 8BT,913864,Spend on Inventory - General,"11,749.44"
Ministry of Defence,Ministry of Defence,05/03/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,908802,Cost of other material consumed,"11,709.73"
Ministry of Defence,Ministry of Defence,27/03/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,919369,Cost of other material consumed,"11,704.77"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,914455,Cost of other material consumed,"11,682.01"
Ministry of Defence,Ministry of Defence,27/03/2012,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,918861,Equipment support non-project costs,"11,670.54"
Ministry of Defence,Ministry of Defence,19/03/2012,Design services and minor equipment purchases,Air Command,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,915058,Equipment support non-project costs,"11,656.74"
Ministry of Defence,Ministry of Defence,30/03/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,920859,Consumption of medical dental and veterinary inventory,"11,620.53"
Ministry of Defence,Ministry of Defence,22/03/2012,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,917172,Fees for professional services excluding legal fees,"11,607.02"
Ministry of Defence,Ministry of Defence,19/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,DM SYSTEMS AND TEST LIMITED,SG4 0TA,915187,Equipment support non-project costs,"11,550.35"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,915751,Cost of other material consumed,"11,539.18"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,914394,Consumption of medical dental and veterinary inventory,"11,519.49"
Ministry of Defence,Ministry of Defence,09/03/2012,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,911982,Cost of clothing and textile services received,"11,514.14"
Ministry of Defence,Ministry of Defence,22/03/2012,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,916956,Transport other operating lease,"11,514.12"
Ministry of Defence,Ministry of Defence,16/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS INTEGRATED SYSTEM TECHNOLOGIES LIMITED,GU16 7EX,914450,Equipment support project costs,"11,477.00"
Ministry of Defence,Ministry of Defence,26/03/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,918280,Cost of other material consumed,"11,463.96"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Air Command,QINETIQ LIMITED,PO12 2AG,910736,Equipment support non-project costs,"11,444.00"
Ministry of Defence,Ministry of Defence,16/03/2012,"Transportation of personnel, freight and travel expenses",Land Forces,RAILION DEUTSCHLAND AG,,5000074505,Freight movement costs,"11,437.55"
Ministry of Defence,Ministry of Defence,20/03/2012,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,915912,Medical health services,"11,400.20"
Ministry of Defence,Ministry of Defence,26/03/2012,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,918455,Medical health services,"11,384.77"
Ministry of Defence,Ministry of Defence,22/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,FENN NIGHT VISION LIMITED,GU14 6UU,917124,Post design services which are not capitalised,"11,360.37"
Ministry of Defence,Ministry of Defence,29/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,ATKINS LIMITED,WR5 1TX,920082,Equipment support project costs,"11,340.00"
Ministry of Defence,Ministry of Defence,05/03/2012,"Transportation of personnel, freight and travel expenses",Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013550,Military short term detached duty,"11,338.15"
Ministry of Defence,Ministry of Defence,08/03/2012,Fuel for military use,Air Command,EUROSHELL DEUTSCHLAND GMBH,,5000073800,Oil and lubricants consumed excluding those from the inventory system,"11,330.93"
Ministry of Defence,Ministry of Defence,21/03/2012,Design services and minor equipment purchases,Air Command,EQUIPMENT HIRE SERVICES LTD,OL9 7AH,916457,Equipment support non-project costs,"11,291.50"
Ministry of Defence,Ministry of Defence,06/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,909259,Equipment support non-project costs,"11,235.60"
Ministry of Defence,Ministry of Defence,15/03/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,913952,Medical health services,"11,221.26"
Ministry of Defence,Ministry of Defence,29/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,920101,Equipment support project costs,"11,219.04"
Ministry of Defence,Ministry of Defence,14/03/2012,Estate management,Central TLB,SINCLAIR KNIGHT MERZ (EUROPE) LTD,M3 2WJ,913697,Works - estate management,"11,217.40"
Ministry of Defence,Ministry of Defence,29/03/2012,Externally delivered education and training,Land Forces,THE FIRE SERVICE COLLEGE,GL56 0RH,920769,External military training - training area charges,"11,185.00"
Ministry of Defence,Ministry of Defence,06/03/2012,Purchase of inventory and services ,Air Command,BOC LIMITED,M28 2UT,909313,Consumption of engineering and technical inventory,"11,169.41"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,918201,Cost of other material consumed,"11,168.52"
Ministry of Defence,Ministry of Defence,01/03/2012,Food and clothing,Air Command,COTSWOLD OUTDOOR LTD,SN16 9SH,907798,Cost of purchasing and repairing clothing,"11,064.50"
Ministry of Defence,Ministry of Defence,28/03/2012,Spend on Inventory - General,Defence Equipment & Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,919501,Spend on Inventory - General,"11,029.55"
Ministry of Defence,Ministry of Defence,09/03/2012,Spend on Inventory - General,Defence Equipment & Support,TEST-FUCHS GMBH,,5000073881,Spend on Inventory - General,"11,023.06"
Ministry of Defence,Ministry of Defence,07/03/2012,Design services and minor equipment purchases,Land Forces,PETARDS JOYCE-LOEBL LIMITED,NE11 0TU,910723,Equipment support project costs,"11,009.84"
Ministry of Defence,Ministry of Defence,29/03/2012,Spend on Inventory - General,Defence Infrastructure Organisation ,BUNZL UK LIMITED,KT19 8TY,920152,Spend on Inventory - General,"10,990.27"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of buildings and military equipment ,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,914953,Fiscal asset under construction - capital in year addition,"10,947.09"
Ministry of Defence,Ministry of Defence,19/03/2012,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,915558,Cost of food services,"10,943.19"
Ministry of Defence,Ministry of Defence,20/03/2012,Purchase of inventory and services ,Land Forces,ALLIANCE HEALTHCARE (DISTRIBUTION) LTD,KT9 1SN,915703,Consumption of medical dental and veterinary inventory,"10,901.12"
Ministry of Defence,Ministry of Defence,19/03/2012,Estate management,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,915044,Works - estate management,"10,874.40"
Ministry of Defence,Ministry of Defence,20/03/2012,Payment of utilities,Land Forces,WATSON PETROLEUM LTD,SN15 5DN,916217,Utilities consumed - heating oil,"10,792.99"
Ministry of Defence,Ministry of Defence,16/03/2012,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,914994,Cost of other material consumed,"10,725.78"
Ministry of Defence,Ministry of Defence,13/03/2012,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,912674,Consumption of medical dental and veterinary inventory,"10,662.12"
Ministry of Defence,Ministry of Defence,06/03/2012,Spend on Inventory - General,Defence Equipment & Support,PARKER HANNIFIN MANUFACTURING LIMITED,CV34 9EE,909599,Spend on Inventory - General,"10,653.78"
Ministry of Defence,Ministry of Defence,13/03/2012,Medical treatment & stores and welfare services,Central TLB,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,'200000013631,Schools + community relations initiatives,"10,622.31"
Ministry of Defence,Ministry of Defence,26/03/2012,Design services and minor equipment purchases,Defence Equipment & Support,HALE HAMILTON (VALVES) LTD,UB8 2AF,918437,Equipment support non-project costs,"10,618.72"
Ministry of Defence,Ministry of Defence,01/03/2012,Payment of utilities,Defence Infrastructure Organisation ,PACE FUELCARE LIMITED,TW20 9AB,908041,Utilities consumed - heating oil,"10,583.47"
Ministry of Defence,Ministry of Defence,14/03/2012,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,RH1 1RX,913776,Utilities consumed - gas,"10,429.66"
Ministry of Defence,Ministry of Defence,14/03/2012,Medical treatment & stores and welfare services,Land Forces,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,913266,Medical health services,"10,428.67"
Ministry of Defence,Ministry of Defence,09/03/2012,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,912072,Cost of other material consumed,"10,413.81"
Ministry of Defence,Ministry of Defence,12/03/2012,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,912663,Cost of other material consumed,"10,413.11"
Ministry of Defence,Ministry of Defence,20/03/2012,"Transportation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,916079,Military short term detached duty,"10,407.45"
Ministry of Defence,Ministry of Defence,02/03/2012,Spend on Inventory - General,Defence Equipment & Support,FIRMIN & SONS LIMITED,B6 4HU,908381,Spend on Inventory - General,"10,358.52"
Ministry of Defence,Ministry of Defence,08/03/2012,Transport hire charges,Defence Infrastructure Organisation ,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,910936,Transport other operating lease,"10,341.87"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of inventory and services ,Land Forces,AMPLIVOX LTD,OX5 1JD,917527,Consumption of medical dental and veterinary inventory,"10,332.00"
Ministry of Defence,Ministry of Defence,23/03/2012,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,917580,Cost of other material consumed,"10,331.53"
