ALB,Supplier,Net Amount £
Department for Communities and Local Government ,HAMMONDS,573.01
Department for Communities and Local Government ,RS COMPONENTS (UK) LTD,571.47
Department for Communities and Local Government ,WATERLOW SPECIALIST,569.25
Department for Communities and Local Government ,KENT FIRE BRIGADE,565.21
Department for Communities and Local Government ,GATESHEAD MBC,562.24
Department for Communities and Local Government ,CABINET OFFICE,560.00
Department for Communities and Local Government ,COLOURSPEED LIMITED,559.00
Department for Communities and Local Government ,GETTING ON BOARD,557.20
Department for Communities and Local Government ,CAMBRIDGE REGIONAL COLLEGE,552.25
Department for Communities and Local Government ,KEESING REFERENCE SYSTEMS BV,551.52
Department for Communities and Local Government ,TEKNI KLEEN COMPUTER SERVICES LTD,551.00
Department for Communities and Local Government ,BUCKS & MILTON KEYNES FIRE AUTH,550.74
Department for Communities and Local Government ,MARTINJOHN ASSOCIATES,548.00
Department for Communities and Local Government ,WANSBECK DISTRICT COUNCIL,547.66
Department for Communities and Local Government ,CONEXIONS UNLIMITED,536.39
Department for Communities and Local Government ,NATIONAL MARITIME MUSUEM,528.75
Department for Communities and Local Government ,WHITEHALL & INDUSTRY GROUP,528.75
Department for Communities and Local Government ,CREATIVE FLAVOURS CATERING LTD,525.75
Department for Communities and Local Government ,ESSEX UNIVERSITY,525.00
Department for Communities and Local Government ,DE VERE WYCHWOOD PARK LTD,523.25
Department for Communities and Local Government ,ALEXANDER CONSULTING,520.00
Department for Communities and Local Government ,MCONIE AGENCY LTD,520.00
Department for Communities and Local Government ,NAT ASSOC VOL & COMMUNITY ACTIONS,511.20
Department for Communities and Local Government ,CAFE SPORTS ENGLAND,511.00
Department for Communities and Local Government ,KMC International,510.42
Department for Communities and Local Government ,CENTRE FOR STRESS MANAGEMENT,502.13
Department for Communities and Local Government ,OFFICE OF GOVERNMENT COMMERCE,500.00
Department for Communities and Local Government ,ROYAL GEOGRAPHICAL SOCIETY,500.00
Department for Communities and Local Government ,TESTHOUSE LIMITED,500.00
Department for Communities and Local Government ,IMARK COMMUNICATIONS LTD,499.00
Department for Communities and Local Government ,ARK GROUP LTD,495.00
Department for Communities and Local Government ,SD PHOTOGRAPHY LTD,460.00
Department for Communities and Local Government ,TEAM BRAND COMM CONSULTANTS LTD,450.00
Department for Communities and Local Government ,REFLEX MARKETING & PROMOTIONS LTD,444.00
Department for Communities and Local Government ,ROYAL ASTRONOMICAL SOCIETY,429.00
