Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BLACKBURN WITH DARWEN BC,,,,5000172354,Grant Payable by Exchequer,"125,731.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BLACKPOOL BC,,,,5000172355,Grant Payable by Exchequer,"149,624.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BOLSOVER DC,,,,5000172356,Grant Payable by Exchequer,"9,013.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BOLTON MBC,,,,5000172357,Grant Payable by Exchequer,"252,576.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BOURNEMOUTH DC,,,,5000172358,Grant Payable by Exchequer,"201,436.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRACKNELL FOREST DC,,,,5000172359,Grant Payable by Exchequer,"121,183.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRADFORD MBC,,,,5000172360,Grant Payable by Exchequer,"407,446.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRENTWOOD BC,,,,5000172361,Grant Payable by Exchequer,"14,109.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BRIGHTON & HOVE CITY COUNCIL,,,,5000172362,Grant Payable by Exchequer,"299,520.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BROMLEY LB,,,,5000172363,Grant Payable by Exchequer,"330,428.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BROXBOURNE BC,,,,5000172364,Grant Payable by Exchequer,"10,490.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BROXTOWE BC,,,,5000172365,Grant Payable by Exchequer,"14,504.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BUCKINGHAMSHIRE CC,,,,5000172366,Grant Payable by Exchequer,"576,301.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,BURNLEY BC,,,,5000172367,Grant Payable by Exchequer,"16,524.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GMRB,,,,5000172368,Grant Payable by Exchequer,"188,688.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CALDERDALE MBC,,,,5000172369,Grant Payable by Exchequer,"201,406.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CAMBRIDGE CITY COUNCIL,,,,5000172370,Grant Payable by Exchequer,"16,965.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CAMBRIDGESHIRE COUNTY CNCL,,,,5000172371,Grant Payable by Exchequer,"577,924.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CAMDEN LB,,,,5000172372,Grant Payable by Exchequer,"246,758.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CANNOCK CHASE DC,,,,5000172373,Grant Payable by Exchequer,"14,984.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CASTLE POINT BC,,,,5000172374,Grant Payable by Exchequer,"18,399.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHARNWOOD BC,,,,5000172375,Grant Payable by Exchequer,"17,138.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHELMSFORD BC,,,,5000172376,Grant Payable by Exchequer,"26,654.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHELTENHAM BC,,,,5000172377,Grant Payable by Exchequer,"19,799.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESTERFIELD BC,,,,5000172378,Grant Payable by Exchequer,"11,345.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CHORLEY DC,,,,5000172379,Grant Payable by Exchequer,"15,967.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,COLCHESTER BC,,,,5000172380,Grant Payable by Exchequer,"26,702.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,COVENTRY CITY CNCL,,,,5000172381,Grant Payable by Exchequer,"294,636.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CROYDON LB,,,,5000172382,Grant Payable by Exchequer,"367,810.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CUMBRIA COUNTY CNCL,,,,5000172383,Grant Payable by Exchequer,"513,873.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DACORUM BC,,,,5000172384,Grant Payable by Exchequer,"24,939.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DARLINGTON BC,,,,5000172385,Grant Payable by Exchequer,"100,118.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DERBY CITY CNCL,,,,5000172386,Grant Payable by Exchequer,"203,684.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DERBYSHIRE COUNTYCOUNCIL,,,,5000172387,Grant Payable by Exchequer,"696,131.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DEVON COUNTY CNCL,,,,5000172388,Grant Payable by Exchequer,"810,249.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DONCASTER MBC,,,,5000172389,Grant Payable by Exchequer,"235,281.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DORSET COUNTY CNCL,,,,5000172390,Grant Payable by Exchequer,"504,732.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,DUDLEY MBC,,,,5000172391,Grant Payable by Exchequer,"276,603.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EALING LB,,,,5000172392,Grant Payable by Exchequer,"314,934.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST DORSET DC,,,,5000172393,Grant Payable by Exchequer,"18,418.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EAST SUSSEX COUNTY CNCL,,,,5000172394,Grant Payable by Exchequer,"598,038.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EASTBOURNE BC,,,,5000172395,Grant Payable by Exchequer,"20,602.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EASTLEIGH BOROUGH COUNCIL,,,,5000172396,Grant Payable by Exchequer,"14,945.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ENFIELD LB,,,,5000172397,Grant Payable by Exchequer,"303,183.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EPPING FOREST DC,,,,5000172398,Grant Payable by Exchequer,"20,310.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EPSOM & EWELL BC,,,,5000172399,Grant Payable by Exchequer,"12,976.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EREWASH BC,,,,5000172400,Grant Payable by Exchequer,"14,685.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ESSEX COUNTY CNCL,,,,5000172401,Grant Payable by Exchequer,"1,446,713.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,EXETER CITY CNCL,,,,5000172402,Grant Payable by Exchequer,"11,842.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,FYLDE BC,,,,5000172403,Grant Payable by Exchequer,"14,048.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GATESHEAD MBC,,,,5000172404,Grant Payable by Exchequer,"213,744.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GEDLING BC,,,,5000172405,Grant Payable by Exchequer,"13,890.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTER CITY CNCL,,,,5000172406,Grant Payable by Exchequer,"17,655.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GLOUCESTERSHIRE COUNTY CNCL,,,,5000172407,Grant Payable by Exchequer,"609,855.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GOSPORT BOROUGH COUNCIL,,,,5000172408,Grant Payable by Exchequer,"13,991.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GRAVESHAM BC,,,,5000172409,Grant Payable by Exchequer,"14,641.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GREAT YARMOUTH BC,,,,5000172410,Grant Payable by Exchequer,"11,529.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,GREENWICH LB,,,,5000172411,Grant Payable by Exchequer,"195,232.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON BOROUGH OF HACKNEY,,,,5000172412,Grant Payable by Exchequer,"189,936.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMMERSMITH & FULHAM LB,,,,5000172413,Grant Payable by Exchequer,"161,948.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAMPSHIRE COUNTY COUNCIL,,,,5000172414,Grant Payable by Exchequer,"1,316,068.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HARINGEY LB,,,,5000172415,Grant Payable by Exchequer,"256,250.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HARLOW DISTRICT COUNCIL,,,,5000172416,Grant Payable by Exchequer,"18,021.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HARROW LB,,,,5000172417,Grant Payable by Exchequer,"258,514.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HART DC,,,,5000172418,Grant Payable by Exchequer,"14,413.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HARTLEPOOL BOROUGH COUNCIL,,,,5000172419,Grant Payable by Exchequer,"99,172.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HASTINGS BC,,,,5000172420,Grant Payable by Exchequer,"17,370.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAVANT BC,,,,5000172421,Grant Payable by Exchequer,"20,687.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HAVERING LB,,,,5000172422,Grant Payable by Exchequer,"268,020.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTFORDSHIRE COUNTY CNCL,,,,5000172423,Grant Payable by Exchequer,"1,256,657.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HERTSMERE BC,,,,5000172424,Grant Payable by Exchequer,"16,464.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HILLINGDON LB,,,,5000172425,Grant Payable by Exchequer,"275,779.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HOUNSLOW LB,,,,5000172426,Grant Payable by Exchequer,"236,774.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HYNDBURN BC,,,,5000172427,Grant Payable by Exchequer,"13,552.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,IPSWICH BC,,,,5000172428,Grant Payable by Exchequer,"32,363.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLE OF WIGHT CNCL,,,,5000172429,Grant Payable by Exchequer,"178,776.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLES OF SCILLY COUNCIL,,,,5000172430,Grant Payable by Exchequer,"3,059.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ISLINGTON LB,,,,5000172431,Grant Payable by Exchequer,"211,534.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,ROYAL BOROUGH OF KENSINGTON & CHELS,,,,5000172432,Grant Payable by Exchequer,"194,726.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KENT COUNTY CNCL,,,,5000172433,Grant Payable by Exchequer,"1,434,222.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KETTERING BC,,,,5000172434,Grant Payable by Exchequer,"15,972.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,HULL CITY COUNCIL,,,,5000172435,Grant Payable by Exchequer,"192,851.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,KNOWSLEY MBC,,,,5000172436,Grant Payable by Exchequer,"131,256.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LONDON BOROUGH OF LAMBETH,,,,5000172437,Grant Payable by Exchequer,"246,264.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LANCASHIRE COUNTY CNCL,,,,5000172438,Grant Payable by Exchequer,"1,061,826.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEEDS CITY CNCL,,,,5000172439,Grant Payable by Exchequer,"669,171.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LEICESTERSHIRE COUNTY CNCL,,,,5000172440,Grant Payable by Exchequer,"597,053.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LICHFIELD DC,,,,5000172441,Grant Payable by Exchequer,"13,474.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,CITY OF LINCOLN COUNCIL,,,,5000172442,Grant Payable by Exchequer,"15,685.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LINCOLNSHIRE COUNTY CNCL,,,,5000172443,Grant Payable by Exchequer,"629,301.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LIVERPOOL CITY COUNCIL,,,,5000172444,Grant Payable by Exchequer,"406,818.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,LUTON BC,,,,5000172445,Grant Payable by Exchequer,"157,364.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MALVERN HILLS DC,,,,5000172446,Grant Payable by Exchequer,"10,100.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MANSFIELD DC,,,,5000172447,Grant Payable by Exchequer,"14,602.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MERTON LB,,,,5000172448,Grant Payable by Exchequer,"206,059.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MIDDLESBROUGH BC,,,,5000172449,Grant Payable by Exchequer,"125,280.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,MILTON KEYNES BC,,,,5000172450,Grant Payable by Exchequer,"231,268.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NEWCASTLE UNDER LYME BC,,,,5000172451,Grant Payable by Exchequer,"17,277.00",Yes
Communities & Local Government,DCLG,15/08/2011,Current (non AEF) Grants to Local Authorities,Localism,NEWCASTLE UPON TYNE DC,,,,5000172452,Grant Payable by Exchequer,"264,982.00",Yes
