Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG223,Higher Executive Officer (HEO),26058,39513,Project Manager,2,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG223,Senior Executive Officer (SEO),32311,45985,Project Manager,2,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG223,Fast Stream (HEOD),27000,35000,Project Manager,4,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG222,Administrative Officer (AO),19335,25847,Project Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG222,Executive Officer (EO),22279,31225,Project Support Officer,0.83,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG222,Grade 6 (G6),50203,70375,Senior Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG222,Grade 7 (G7),40852,57110,Senior Project Manager,5,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG222,Higher Executive Officer (HEO),26058,39513,Project Manager,5,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG222,Senior Executive Officer (SEO),32311,45985,Project Manager,2,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG226,Grade 6 (G6),50203,70375,Senior Project Manager,2,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG226,Grade 7 (G7),40852,57110,Senior Project Manager,9.78,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG226,Higher Executive Officer (HEO),26058,39513,Project Manager,4.6,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG226,Senior Executive Officer (SEO),32311,45985,Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG224,Administrative Officer (AO),19335,25847,Project Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG224,Executive Officer (EO),22279,31225,Project Support Officer,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG224,Grade 6 (G6),50203,70375,Senior Project Manager,2.92,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG224,Grade 7 (G7),40852,57110,Senior Project Manager,2.81,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG224,Higher Executive Officer (HEO),26058,39513,Project Manager,1,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG224,Senior Executive Officer (SEO),32311,45985,Project Manager,3,Programme and Project Management (PPM)
Department for Communities and Local Government,Department for Communities and Local Government,Strategy and Programme Team,CLG224,Fast Stream (HEOD),27000,35000,Project Manager,0.67,Programme and Project Management (PPM)
