,,
Organisations Paid Between £25 thousand and £5 million by the Ministry of Defence in 2009/10,,
,,
Buckinghamshire Hospitals NHS Trust,Interdive Services Ltd,Sofrance S A
Bull Information Systems Ltd,Interlink Marketing & Services Ltd,Soldier Magazine
Bundesamt Fuer Wehrverwaltung,International Institute For Strategic Studies,Solutia UK Ltd
Bundesforstbetrieb Luneburger Heide,International Metal Service (UK) Ltd,Somerset College Of Arts & Technology
Burcombe Haulage Ltd,Intersoft Electronics N V,Sommer Road Cargo Solutions Gmbh & Co KG
Burges Salmon,Intoximeters UK Ltd,Sonosite Ltd
Burgess Architectural Products Ltd,Intuition Publishing Ltd,Sonovation Ltd
Burtonwood Generator & Switchgear Services Ltd,Inverclyde Council,South East Water PLC
Busch Graphic Machinery Ltd,Inverness Medical UK Ltd,South Kesteven District Council
Busec Ltd,Inverness Properties (Bridge Street) Ltd,South Lakeland District Council
Bushnell Performance Optics UK Ltd,IOSH Services Ltd,South Staffs Hire Ltd
Business & Decision Ltd,iPharm Solutions Ltd,South Tyneside College
Business In The Community,IPRS (Mediquipe) Ltd,South West Independent Medical Services Ltd
Business Objects (UK) Ltd,Iron Mountain (UK) Ltd,South West Water Authority
Buzzlines Travel Ltd,Irwin Mitchell LLP,South Western Ambulance Service NHS Trust
BVT Surface Fleetsupport Ltd,I-Sek Ltd,South Yorkshire Passenger Transport Executive
BWT Chartered Physiotherapists,Isoft Laboratory Systems Ltd,Southampton Cargo Handling Ltd
BYG Systems Ltd,Isolated Systems Ltd,Southampton City Council
C & B Locums Ltd Now LCBL Ltd,Issee Ltd,Southampton City Primary Care Trust
C & S American Heart Institute Ltd,J & E Hall Ltd,Southend-On-Sea Borough Council
C B Developments (Tyre Mobility) Ltd,J & K Wiethoff,Southern Electric Contracting Ltd
C D Barr,J & W Kaeltetechnik Fabchetrieb,Southern Filters Ltd
C Data Services Ltd,J Albermann Inh B Doll,Southglade Consulting Ltd
C J Elliott Ltd,J G Black Polymers Ltd,Spafax International Ltd
C King Associates Ltd,J Hudson & Co (Whistles) Ltd,Speakerbus Ltd
C L C Contractors Ltd,J K S - Boyles UK Ltd,Specialist Aviation Ltd
C Pophaides & Sons Ltd,J M Adventure Ltd,Specialist Microwave Solutions Ltd
C&C Technologies UK Ltd,J P Lennard Ltd,Speciality Fuels Inc
C.E.F. Elektrofachgrosshandlung Nord Gmbh,J R Adams (Newcastle) Ltd,Spectra Group (UK) Ltd
C.G.S. Ltd,J. J. Mcadam & Sons Ltd,Spectrum Technologies PLC
C2 Dieppe Ltd,J.C. Atkinson And Son Ltd,Spelthorne Borough Council
C31A Solutions Ltd,Jackels Gmbh,Spie Matthew Hall Ltd
CA PLC,Jacon Ltd,Spring House Group Ltd
Cable And Wireless Communications PLC,James Armstrong & Company Ltd,Spring Technology Staffing Services Ltd
Caen Medical Centre,James Kingsberry Ltd,SRCL Ltd
Calumet Photographic Gmbh,Javelin Broadband Ltd,St Ives Andover Ltd
Cambridge City Council,Jaybeam Ltd,St Johannis-Krankenhaus
Cambridge Correlators Ltd,JBC Computers Ltd,St Mauritius Therapieklinik Meerbusch Gmbh
Cambridge Projects Ltd,Jedi Systems Consultancy Ltd,St Pauls Cathedral
Cambridgeshire Primary Care Trust,Jens Huelsmann Bausanierung,St Thomas Surgery LLP
Camden Local Borough Council,Jetage Engineering Co (1991) Ltd,St. Bours & G. Pompetzki GBR
Cameon Ltd,JJK Verlagssoftware Gmbh,St. John Ambulance
Campden Technology Ltd,Joh Peters Sen Gmbh & Co KG,Stadt Buende
Cancom Sysdat Gmbh,John Liscombe Ltd,Stadt Detmold
Canmore Consultants Ltd,Johnson & Johnson Medical Ltd,Stadt Duelmen
Cannon Motors Ltd,Johnson Fellows LLP,Stadt Haltern Am See
Canoe Sport Ltd,Johnsondiversey UK Ltd,Stadt Hameln
Cape Warwick Ltd,Johnston Sweepers Ltd,Stadt Wegberg Steueramt
Capio Healthcare Ltd,Joint Air Power Competence Centre,Stadtwerke Goch Gmbh
Capital Shopping Centres PLC,Jones Yarrell & Co Ltd,Stadtwerke Haltern Gmbh
Capital Training,Jonesco (Preston) Ltd,Stadtwerke Kiel AG
Cara Operations Ltd,Jordan Engineering Ltd,Stadtwerke Munster Gmbh
Carbolite Ltd,Josephine Sammons Ltd,Stadtwerke Osnabrueck AG
Carbon Trust(The),Josten Tortechnik Gmbh,Stadtwerke Schaumburg-Lippe Gmbh
Cardiff Sports Medicine Services Ltd,Jrr Nortec-Reparaturen,Staffordshire University
Cardinal Health UK 306 Ltd,Justloos.Com Ltd,Stage Electrics Partnership Ltd
Cardinal Sports Ltd,K B Servicing Catering Ltd,Stanton Marris LLP
Careervision Ltd,K G J Price (Railway Contractors) Ltd,Star - Apic (UK) Ltd
Carefusion UK 306 Ltd,K P Bhatti & M A Khan T/A Crown Tailoring Services,Start Oxford Ltd
Caremax Ltd,K. Sterilizer Validation Advisory Services Ltd,Steelhenge Consulting Ltd
Carestream Health UK Ltd,K. T. S. Kent Ltd,Stelmeco Ltd
Cargotec UK Ltd,Kabisch Roll-Tor-Service,Stephan Klute Gmbh & Co Kg
Carina VT Ltd,Kaelte & Klima Anlagen Gmbh,Stephen Frowen Transport Ltd
Caris Geographic Information Systems BV,Kaelte Klima Lueftung Gmbh,Steven Consultants Ltd
Carl Zeiss Ltd,KAG Ltd,Stevens Hewlett & Perkins
Carlin Boat Charter Ltd,Kalmar Rt Centre L.L.C.,STL Smartways Technology Ltd
Carlisle City Council,Kanban Sheet Metal Ltd,Stobart Air Ltd
Carter Jonas LLP,Kaplan Financial Ltd,Stockton-On-Tees Borough Council
Cas-Aids Ltd,Karl-Ludwig Theis Gmbh,Stoddard Manufacturing Company Ltd
Caspian Learning Ltd,Kashket Logistik Unicorp Ltd,Stodec Products Ltd
Castle Street Retail Ltd,Kavo Dental Ltd,Storacall Voice Systems Ltd
Castlet Ltd,Kawaguti Management Ltd,Stored Energy Technology Ltd
Catalyze Ltd,Kbs Signs And Design Ltd,Storm Recruitment Ltd
Caterham Surgical Supplies Ltd,Keiser UK Ltd,Stothert & Pitt Ltd
Cavendish Tricorne Ltd,Kelly Services (UK) Ltd,STR Ltd
CBI Equipment Ltd,Kemble Air Services Ltd,Stratec Medizintechnik Gmbh
CBS Outdoor Ltd,Kent Coach Tours Ltd,Stratford Business School Ltd
CEAG Ltd,Kenure Developments Ltd,Strathcarron's
Central Bank Atr Bassingbourn,Kestrel Court Managed Workspace Ltd,Strathclyde Pharmaceuticals Ltd T/A Munro
Central Compressor Consultants Ltd,Kewell Converters Ltd,Student Employment Services (UK) Ltd
Central Industrial Services Ltd,Key People Ltd,Sturgess Enterprises Ltd
Central Lancashire Physiotherapy Ltd,Kiefer Gmbh,Sub Aqua Diving Services Ltd
Central Surrey Health Ltd,Kimberly - Clark Ltd,Submitsent Enterprises Ltd
Central Weighing Ltd,Kings College London Business Ltd,Subsea Asset Location Technologies Ltd
Centrum Szkolenia Sil Polazonych JFTC,Kingsland Shopping Centre (2008) Ltd,Suffolk County Council
Century Dynamics Ltd,Kingspan Access Floors Ltd,Suffolk Life Annuities Ltd
Chambers Waste Management PLC,Kingston College,Sunderland City Council
Channel Tunnel Group Ltd & France Manche SA T/A Eurotunnel,Kingston Upon Hull City Council,Supermarine Aero Engineering Ltd
Chapeloak Medical Services Ltd,Kittiwake Developments Ltd,Supplies Team Ltd
Charities Aid Foundation,Klingel Consult - Management Solutions Ltd,Supply 999 Ltd
Charles H Fox Ltd,KLM Jet Center,Supply Solutions 2009 Ltd
Charnwood Borough Council,Knop Gebaeude- Dienstleistungen Gmbh,Surgical Instruments Group Holdings Ltd
Chatham House Ltd,Knorr-Bremse Systems For Commercial Vehicles Ltd,Surridge Dawson Ltd
Checkmate Flexible Engineering LLP,Konig Burotechnik,Survey Supplies Ltd
Chelmsford College,Kraft Foods UK Ltd,Sutcliffe Play Ltd
Chelsea Building Society,Kraftverkehr Schwalmtal,Svitzer Humber Ltd
Cheshire East Council,Kreis Viersen,Swarm Systems Ltd
Cheshire West And Chester Council,Kreislaufwirtschaft Maurer & Wissing Gmbh & Co KG,Swift Taxis & Private Hire Ltd
Chester Handling Services Ltd,Kronospan Forestry Ltd,Swiis Healthcare Ltd
Chesterfield Special Cylinders Ltd,L & D Precision Engineers Ltd,Swindon Borough Council
Chiltern District Council,L & K Haustechnik,Switch International Trailers (UK) Ltd
Chinn Engineering Ltd,La Forestal Ltd,Sykes-Pickavant Ltd
Chris Thorpe Ltd,Lableman Ltd,Symbiotics Ltd
Chris Wright(East Yorkshire) Ltd,Laboratory Services Laundry Ltd,Symington's Ltd
Christ Kuechentechnik Gmbh,Ladymead Projects Ltd,Symonds Group Ltd
Church Of England Soldiers Sailors & Airmens Clubs,Lakeside Coaches Ltd,Synergy Healthcare Rehabilitation Ltd
Cima Enterprises Ltd,Lali Usted,Synthes Ltd
Cimtek UK Ltd,Land Registry,Sysmex UK Ltd
CIPD Enterprises Ltd,Landaur Ltd,Systecon (UK) Ltd
CIT Vendor Finance (UK) Ltd,Landkreis Hameln-Pyrmont,Systems Communications And Networks (SCN) Ltd
Citroen UK Ltd,Landkreis Soltau-Fallingbostel,T & L Decorating Services Ltd
CITTI Gv-Partner Grosshandel Gmbh & Co KG,Larmar Brown Consulting Ltd,T A Savery & Co Ltd
City And County Of Swansea,Laserperformance (Europe) Ltd,T B Davies (Cardiff) Ltd
Clark Masts Teksam Ltd,Laser-Scan Engineering Ltd,T.Q. Environmental PLC
Clean Team,Latona Leisure Ltd,T123 Ltd
Clear Channel UK Ltd,Laundry F M Ltd,Tactical Support Equipment Inc
Clearwater Special Projects Ltd,LBA International Ltd,Tag Farnborough Airport Ltd
Clements Technical Recruitment Ltd,Lead Manage Coach Ltd,Talon Ndt Ltd
Cleveland Technologies Ltd,Lee Baron Commercial Ltd,Tana Water (UK) Ltd
Clickair Ltd,Lee Baron Group Ltd,Tanfield Engineering Systems Ltd
Clifton Medical LLP,Lee-Dickens Ltd,Tavcom Ltd
Clinigen Healthcare Ltd,Leeds City Council,Taylor Construction Plant Ltd
Cliniserve Ltd,Leeds Student Medical Practice Ltd,Tayside Public Transport Company Ltd
Clinton Devon Estates,Leica Microsystems (UK) Ltd,TC Safety Ltd
Clow Group Ltd,Leonard Gould & Company Ltd,Tdl Support Management Ltd
Clucas Method Of Entry Ltd,Level Peaks Associates Ltd,Teac UK Ltd
CMS (Cable Management Supplies) Ltd,Lexicon Public Relations Ltd,Teaching Health
CMS Hasche Sigle,Lexis-Nexis Europe Ltd,Technasales Ltd
Cobham Advanced Composites Ltd,Leyland Trucks Ltd,Technique Training Ltd
Cobham Mal Ltd,Lightfoot Defence Ltd,Techniques For Change Ltd
Codelabs Ltd,Lightfoot Refrigeration Company Ltd,Technischer Umweltschutz Reinigungs Service Gmbh
Coe's (Derby) Ltd,Lightmain Company Ltd,Technology Supplies Ltd
College Of Estate Management,Limes Developements Ltd,Tedtech Engineering/Design Ltd
Colt Industrial Services Ltd,Linatex Ltd,Teekay Couplings Ltd
Coltman Warner Cranston LLP,Linbrooke Services Ltd,Tees Esk & Wear Valleys NHS Trust
Combat Training Solutions,Linck Gmbh,Telecom Italia S.P.A.
Combined Energy SolutionsLtd,Lincolnshire Teaching Primary Care Trust,Teledyne Defence Ltd
Combined Joint Operations From The Sea Centre Of Excellence,Linde AG,Telent Technology Services Ltd
Combined Knowledge Ltd,Linguarama Ltd,Telephonetics Vip Ltd
Commercial Aerospace Services Co Ltd,Lion Laboratories Ltd,Temprotech Ltd
Commercial Space Technologies Ltd,Lissajous Nucleonics Ltd,Ter Instruments Ltd
Commerzbank Aktiengesellschaft,Lister Defence Consulting Ltd,Test-Fuchs Ing Fritz Fuchs Gmbh
Common Purpose UK,Liverpool Airport PLC,Tetra Scene Of Crime Ltd
Compair UK Ltd,Liverpool Aviation Services Ltd,Tews
Company Fasteners Ltd,Livewire Digital Ltd,Textainer Equipment Management (UK) Ltd
Compensation Recovery Unit Northern Ireland,Lloyd Walker T/A Lloyds School Of Motoring,TFX Group Ltd
Complexity Solutions Ltd,Lloyds British Testing Ltd,Thames Valley Rentals Ltd
Comprehensive Surgical Supplies Ltd,Llwynon Saddlery Ltd,Thames Valley University
Conflict Management Plus Ltd,Location Pictures Ltd,The Ark Design & Print Ltd
Connect Storage Systems Ltd,Logically Secure Ltd,The Beacon Clinic Ltd
Connecting For Health,Logistex Ltd,The Birmingham Gun Barrel Proof House
Conocophillips Ltd,Logistics Employment Training Services Ltd,The Boots Co PLC
Containerlift Sevices Ltd,Logistics Support Analysts Ltd,The British Library
Context Information Security Ltd,Logsys Holdings Ltd,The Cabinet Office Emergency Planning College
Continental Airlines Inc,Lom Praha S P,The Carbon Trust
Continental Sports Ltd,London Ashford Airport Ltd,The Chamber Of Shipping Ltd
Contract Chemicals Ltd,London Borough Of Hammersmith & Fulham,The College Of Law
Contract Personnel Ltd,London Borough Of Islington,The Consortium For Purchasing And Distribution Ltd
Control Risks Group Ltd,London Business School,The Consultancy Consortium Ltd
Converge Recruitment Ltd,London Energy PLC,The Dart Harbour & Navigation Authority
Cookson & Clegg Ltd,London Name Plate Manufacturing Company Ltd,The Dean & Chapter Of Westminster
Cooleraid Ltd,London South Bank University,The Economist Intelligence Unit Ltd
Cooper Foods (Andover) Ltd,London Southend Airport Company Ltd,The Engineering And Technology Board
Cooper Specialised Handling Ltd,Lowe Communications Ltd,The Event Medicine Company Ltd
Co-Operative Group Ltd,LRG Hotels Ltd,The Faraday Centre Ltd
Cornet Switching Systems Ltd,LTA Auto & Reifenservice UG,The Fine Food Company UK Ltd
Cornwall County Council,Lucidus Ltd,The Fire Service College
Cornwall Partnership NHS Trust,Lucion Environmental Ltd,The General Council Of The Bar In England And Wales
Cornwell Catering Agency Ltd,Lufthansa Resource Technical Training Ltd,The Geoinformation Group Ltd
Corona Energy Ltd,Lurgan Accident Repair Centre Ltd,The George Eliot Hospital NHS Trust
Corporate Risk Systems Ltd,Lynceus Ltd,The Golf And Riding Attire Company Ltd
Corsair Manufacturing Ltd,M & K Update Ltd,The Great Escape
Co-Tropic Ltd,M&J Seafood Ltd,The Heightec Group Ltd
Council Of Voluntary Welfarework.,M.C. Air Filtration Ltd,The Henry L Stimson Center
Countrywide Residential Lettings Ltd,M.H.Southern & Company Ltd,The Highland Reserve Forces & Cadets Association
Coventry City Council,M.V.M. Sheet Metal Fabrications Ltd,The Institute Of Internal Auditors-UK And Ireland Ltd
Coventry University,Mabbutt Engineering Solutions Ltd,The Institute Of Leadership & Management
Covercraft Ltd,Macarthys Laboratories Ltd,The International Council For The Life Sciences
Covidien (UK) Commercial Ltd,Macdonald Botley Park Hotel Golf & Country Club,The Logistics Network Ltd
CPL Distribution Ltd,Magnaflux Ltd,The London Heliport Ltd
Crag Rats Ltd,Maha Maschinenbau HaldenwangGmbh & Co KG.,The Marine Society And Sea Cadets
Crane Process Flow Technologies Ltd,Mainbrace Marine Ltd,The Mines Advisory Group
Crawford Contracts Ltd,Mainline Coaches Ltd,The Museum Of Army Flying Ltd
Credit Action,Majestic Travel Ltd,The National Trust
Crib Gogh Ltd,Maker Coating Systems Ltd,The Natural History Museum Trading Company Ltd
Cricket Foundation Enterprises Ltd,Malcolm Hutchinson Associates Ltd,The Nottingham Trent University
Crispin & Borst Ltd,Malvern Hills District Council,The Prince's Trust
Criterion Capital,Malveroma Ltd,The Reserve Forces & Cadets Ass. For The NW Of England & The IOM
Crown Business Communications Ltd,Man Truck & Bus Deutschlang Gmbh,The Rialto Consultancy Ltd
Crown Paints Ltd,Manchester Airport PLC,The Royal Navy And Royal Marines Charity
Crownship Developments Ltd,Manchester City Council,The Royal Society For The Prevention Of Accidents
Crusader Leisure Ltd,Manroland Great Britain Ltd,The Science And Technology Facilities Council
CT Electronics Ltd,Mansfields Wholesale Ltd,The Sheiling Trust
Cullum Detuners Ltd,Mantec Services UK Ltd,The Shropshire Doctors' Co-Operative Ltd
Cumbria Waste Recycling Ltd,Maple Arenas Ltd,The Sports Insole Company Ltd
Curry & Partners LLP,Marigold Industrial Ltd,The States Of Jersey Employment & Social Security Department
Cws-Boco Deutschland Gmbh,Marin Jip,The Sunlight Service Group Ltd
Cyfas Systems Ltd,Marine And Risk Consultants Ltd,The Surveillance Group Ltd
D Smith (Joinery) Ltd,Marine Electronic Systems Ltd,The Temple Hewitt Partnership
Dana UK Driveshaft Ltd,Maris (UK) Ltd,The Underwater Centre (Fort William) Ltd
Daray Ltd,Maritime Training And Competence Solutions Ltd,The University Of Cumbria
Data Card Ltd,Marrill Engineering Co Ltd,The University Of Leeds
Data Discovery Solutions Ltd,Marriott Hotels Ltd,The University Of Salford
Data Physics (UK) Ltd,Marsh Plant Hire Ltd,The Welding Institute
Datanet Installation Services UK Ltd,Marshall Aerospace International Services Ltd,The Windsor Leadership Trust
Datawatch International Ltd,Marshall Sdg Ltd,Thermo Electron Corporation
David Brown Engineering Ltd,Marshall's Industrial Ltd,Thermokil Ltd
David Fishwick LLP,Mathshop Ltd,Thomson Airways Ltd
David Pannell & Partners Pannell & Partners,Maven Training Ltd,Thomson Legal & Regulatory Ltd
David Ritchie (Implements) Ltd,Maximum Adventure Sports UK Ltd,Thoresby Estate
Davitt Jones Bould Ltd,Mayall & Co Ltd,Three Pines Building Co Ltd
Db Bahn Gleisbau Gmbh,Mcbains Cooper Consulting Ltd,Thus PLC
Db Fahrzeuginstanhaltung Gmbh,Mccolls Coaches Ltd,Tiger Tools Ltd
DBI Consulting Ltd,Mcmurdo Ltd,Tigervision Ltd
DDR Ltd,MCR Property Group,Timberline Ltd
De Havilland Support Ltd,Mechanical And Electrical Training Company Ltd,Timewatch PLC
De Vere Hotels & Leisure Ltd,Meckling/Reichelt/Kirchner /Oelbracht/Mueller-Miny,Tischlerei Kraft Gmbh
De Vere Hotels Ltd,Medacs Healthcare Group Ltd,Tisics Ltd
Dealtop (Plymouth) Ltd,Medacx Ltd,Titan Airways Ltd
Dealtop Ltd,Medicare First Ltd,Titan Internet Ltd
Deb Deutschland Gmbh,Medi-Cruit Ltd,Tno Defence Security And Safety
Delco Medical Services Ltd,Medvision Ltd,Todd Research Ltd
Dell Products,Meindl Fahrzeugbau Gmbh,Tonbridge And Malling Borough Council
Delta 7 Change Ltd,Melton Borough Council,Topper International Ltd
Delta Design Systems Ltd,Meltwater News UK Ltd,Torton Bodies Ltd
Delta Fire Ltd,Mercian Surgical Supply Co Ltd,Total Logistics Concepts Ltd
Delta Scientific Corporation (UK) Ltd,Merck Serono Ltd,Total Postweigh International Ltd
Delta Vehicle Hire Ltd,Metal & Waste Recycling Ltd,Town Centre Securities PLC
Deltascheme Ltd,Metallbau Brinkmann,TQ Workforce Development Ltd
Demor Investments Ltd,Metrix Electronics Ltd,Trackdale Ltd
Denbridge Marine Ltd,Microcomms Professional Services Ltd,Tractel (UK) Ltd
Dental Dynamix Equipment Ltd,Microscript Systems Ltd,Trafalgar Technical Solutions Ltd
Department Of Finance & Personnel,Middle East Association (The),Trafford Council
Desert Regional Medical Centre,Mid-Kent College Of Higher & Further Education,Transammo
Desoutter Ltd,Midway Roadtanker Services Ltd,Transport For London
Det Norske Veritas Ltd,Midwest Executive Aviation Ltd,Transprocon Transatlantic Project & Contract Cargoes AB
Detica Group PLC,Mike De Courcey Travel Ltd,Travail Employment Group Ltd
Deutsche Annington,Miken Electronics Ltd,Travel Counsellers PLC
Devon & Cornwall Constabulary,Milestones Clinic Ltd,Tree Top Adventure Ltd
Dew Construction Ltd-Inliquidation,Military Aviation Works No 1 JSC,Trelleborg Automotive UK Ltd
Dexine Rubber Company Ltd,Militec Ltd,Trelleborg Industries UK Ltd
Dhl International (UK) Ltd,Millipore (UK) Ltd,Trend Network Services
Diamed (GB) Ltd,Milton Keynes Council,Trendex Ltd
Diamond Advanced Motorists Ltd,Miltra Engineering Ltd,Tribal Education Ltd
Diehl Remscheid Gmbh & Co KG,Mindsheet Ltd,Tricommunications Ltd
Digital Power Ltd,Ministere De La Defense Etablissement Administratif,Trifibre Ltd
Dignity Funerals Ltd,Mitie Managed Services Ltd,Trillium Property Services (Prime) Ltd
Dionex (UK) Ltd,Mmic Eod Ltd,Trisim Ltd
Diranuk,Mobbu Ltd,Truck Rental Corp.
Direct Resources Ltd,Mobile Team Challenge Ltd,True Grip Driver Training Ltd
Directflight Ltd,Model Futures Ltd,Truflo Marine Ltd
Directorate General Material Resources,Moffat & Williamson Ltd,TRW Ltd
Disclosure Scotland,Moll Gmbh & Co Kg,TS Technology Facilities Management Services LLP
DJ Goode & Associates Ltd,Moog Components Group Ltd,TSL Turton Ltd
DJO UK Ltd,Moonway Services Ltd,Tsn Turmbau Steffens & Noelle Gmbh
DLA Piper UK LLP,Moor Instruments Ltd,T-Systems Enterprise Services Gmbh
DMA Consultancy Ltd,Morgan Blair Hr Ltd,Tuev Nord Akademie Gmbh & Co KG
DMS (Shelf) No 248 Ltd,Morris Material Handling Ltd,Tui Hellas S.A.
DNA Group UK Ltd,Morson Human Resources Ltd,Turner Asset Rental Ltd
Doctor Sims Ltd,Motherwell Tank Gauging Ltd,Turners Coachways (Bristol) Ltd
Dods Parliamentary Communications Ltd,Mount Kenya Safari Club,Turnkey Instruments Ltd
Dolphin Embroidery & Tailoring Services Ltd,Mowag Gmbh,TUV Rheinland Industrie Service Gmbh
Dooleys Wholesale,MREF Tradeco Ltd,Twickenham Experience Ltd
Drahtzaunbau Muenster,MSI (Maintenance Service Installation) Ltd,Twiflex Ltd
Drake Services,MSI Visual Displays Ltd,Twofour Communications Ltd
DRS C3 Systems Inc,MTEC Warehousing Ltd,TXM Recruit Ltd
Druck Ltd,MTL Group Ltd,Tyco Electronics UK Ltd
DS Smith Plastics Ltd,Multiflight Ltd,Tyne Gangway (Structures) Ltd
DSG Consultancy Services Ltd,Munich International School E.V,U.S. Civilian Research And Development Foundation
DSM Demolition Ltd,Munters Ltd,Ucas Media Ltd
DTZ Debenham Tie Leung Ltd,Musketeer Solutions Ltd,U-Drive Ltd
Dufaylite Developments Ltd,Musto Ltd,Uhs United Hospitality Solutions Ltd
Dundee City Council,MW Hetherington T/A E-Learner.Org,UK Cables Ltd
Dunham-Bush Ltd,My Jobgroup Ltd,UK Intellectual Property Office
Durastic Ltd,N Asbury T/A Midland Glowbelle Luxury Travel,UK Parachute Services Ltd
Durham Tees Valley Airport Ltd,N D T Consultants Ltd,UK Sampling Gauges Ltd
Durr Dental (Products) UK Ltd,N.A &/Or V.L. Lockhurst,Ulrich Fleuren
Dyecor Ltd,N.B. Business Services Ltd,Ultima Business Solutions Ltd
Dynamic Controls Ltd,Nakamura & Partners,Unipart Rail Ltd
Dynamic Packaging Ltd,Nalco Ltd,Uniservity Ltd
E*Message Deutschland Gmbh,Nar Group Ltd,United Aviation Services
E.F. Liebelt Gmbh & Co Kg,National Air Traffic Services Ltd,Universal Pipe Enterprises Ltd
E.W. Harvey Ltd,National Car Parks Ltd,Universitaet Des Saarlandes Fr 46 Sprachdatenverarbeitung
EA Technology Ltd,National Foundation For Educational Research,University Of Aberdeen
Eads Deutschland Gmbh,National Skills Academy (Nuclear),University Of Central Lancashire HEC
Eads France SAS,Naval Military And Air Force Bible Society,University Of Durham
Early Years - The Organisation For Young Children,Navy News,University Of Glamorgan
East Of England Ambulance  Service NHS Trust,NB Personnel Ltd,University Of Glasgow
East Renfrewshire Council,Nedgraphics BV,University Of Greenwich
East Sussex Hospital NHS Trust,Nedstat Ltd,University Of Lancaster
Easternpower Ltd,Nefab Packaging UK Ltd,University Of Liverpool
EBO Activities Ltd,Neptune Building Services Ltd,University Of Northampton
E-Careers Ltd,Nesar Quick Co Ltd,University Of Oxford
Eckel Industries Of Europe Ltd,Nestle Waters Direct Deutschland Gmbh,University Of Reading
Ecri,Nestle Waters Powwow Ltd,University Of The West Of England
Edbro PLC,Nestor Primecare Services Ltd,Ursuk Oy
EDM Ltd,Network Innovations,Uvex (UK) Ltd
Edwards Coaches Ltd,Newham Local Borough Council,V R S Precision Engineering Ltd
Edwards Lifesciences Ltd,News Presenters Ltd,V.P. Defence Ltd
EEF Ltd,Next Control Systems Ltd,Vacman Cleaning Ltd
Efm Asset Management Ltd,Next Generation Security Software Ltd,Vacurant Gmbh
Eikonika Ltd,Nh Parco Degli Aragonesi,Valentine Technologies Ltd
Eisenjansen Gmbh & Co Kg,NHJ Ltd,Validquest Ltd
Ele Advanced Technologies Ltd,NHS Grampian,Van Der Vlist
Electra-Net (UK) Ltd,NHS Lothian,Van Stee Survey & Supply Bv
Elektro Caumanns,Nick Sampson Mechanical Engineering Services Ltd,Vantage Applications Ltd
Elektro Wuensch,Niggermeyer Gmbh,Vapormatt Ltd
Elite Automotive Systems Ltd,Nilfisk-Advance Ltd,Vaughan Howell Solicitors
Elizabeth Currell T/A Learning Methods Consultants,Nisbets PLC,Veale Wasbrough Ltd
Ellas Anagnostopoulos Law Firm,No Smoking Day,Veeboard Ltd
Elliott Group Ltd,Noble Denton Consultants Ltd,Venn Group Ltd
Ellis Properties,Norbar Torque Tools Ltd,Vermin-Bielefeld Kopietz Gmbh
Elmatic Waerme-Technologie Gmbh Metallbau,North East Strategic Health Authority,Vestguard UK Ltd
Elro (UK) Ltd,North Glasgow College,Veterinary Laboratories Agency
Embracing Enterprise Ltd T/A The Garnett Foundation,North Island Research Ltd,Victim Support
Emc Computer Systems (UK) Ltd,North Lincolnshire Council,Viking Troll AS
Emergency Technologies Ltd,North Midland Construction Public Ltd Company,Vin Sullivan Foods Ltd
Emerson Network Power Ltd,North Sails One Design International Ltd,Viridor Waste Management Ltd
Emirates Airlines,North Shropshire District Council,Visionhire Ltd
Employ Recruitment UK Ltd,North Somerset Council,Visionsports Ltd
Employment Conditions Abroad Ltd,North Tyneside Council,Vital Link Europe Ltd
Empteezy Ltd,North Yorkshire And York Primary Care Trust,Vitech Scientific Ltd
EMS Physio Ltd,Northern Ireland Office,Vodafone Business Solutions Ltd
Encore Real Time Computing Ltd,Northgate Information Solutions UK Ltd,Vodafone Corporate Ltd
Energis Communications Ltd,Northgate Secure Information Solutions Ltd,Voith Turbo Ltd
Energy Auditing Agency Ltd,Northumberland Estates Ltd,Volkswagen Group United Kingdom Ltd
Energy Foot Print,Northumbria University,VT Halmatic Ltd
Enertec Hameln Gmbh,Norwest Holst Ltd,W & E Browne T/A Orchard County Travel
Engage Performance Improvement Ltd,Norwich Union Central Services Ltd,W.L.Cunliffe(Southport)Ltd
Engineering Development Trust,Novartis Pharmaceuticals UK Ltd,W.P.Warren Engineering Company Ltd
Englands Safety Equipment  Ltd,Novathera Ltd,W.T. Parker (Grantham) Ltd
English Churches Housing Group Ltd,NOWEDA,Wabco Automotive UK Ltd
Enniskillen Airport Ltd,Ntcducting.Com Ltd,Walters Snowdon Advertising Ltd
Ensign Communications Ltd,Nuclear Engineering Services Ltd,Warren Lownds Ltd
Entercourt Inverstments,Nuco Training Ltd,Warton Sports & Social Association
Enterprise Autovermietung Deutschland Gmbh,Nu-Staff Ltd,Warwick University Training Ltd
Enva Northern Ireland Ltd,Object Business Computer Services Ltd,Warwickshire College
Environmental Services Group Ltd,Objectsecurity Ltd,Warwickshire County Council
EPS Logistics Technology Ltd,Oce Imagistics (UK) Ltd,Wassenberg Gmbh
Epsom & St Helier University Hospitals NHS Trust,Ocean Acoustic Developments Ltd,Waste Management Technology Ltd
Equipment Hire Ltd,Ocean Scientific International Ltd,Watec
Equipment Hire Services Ltd,Ocean Sky Corporate Ltd,Waters Gmbh
Erdgasversorgung Schwalmtal Gmbh,Odyssey Marine Exploration Inc,Wattbike Ltd
Erebus UK Ltd,Odyssey Training Ltd,Waveney Laundry Ltd
Erewash Borough Council,Office Of Government Commerce,Waves Personnel (South) Ltd
