Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO062,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO062,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO062,Higher Executive Officer,26676,29599,Higher Executive Officer,4.7,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO062,Senior Executive Officer,32599,36177,Senior Executive Officer,2.9,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO062,Administrative Assistant,14482,15164,Administrative Assistant,1.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO062,Administrative Officer,16457,18414,Administrative Officer,1.7,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO062,Grade 7,44509,54946,Grade 7,2.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO062,Higher Executive Officer,26676,29599,Higher Executive Officer,2.6,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO062,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Executive Officer,19927,23582,Executive Officer,1.8,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Grade 6,54490,67506,Grade 6,2.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Grade 7,44509,54946,Grade 7,2.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Higher Executive Officer,26676,29599,Higher Executive Officer,5.5,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Support Grade Band 1,16457,18414,Support Grade Band 1,1.0,Recorded as AO level on organogram
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO062,Support Grade Band 2,14482,15164,Support Grade Band 2,1.0,Recorded as AA level on organogram
Department for Transport,Government Office Network,GO West Midlands,GO062,Administrative Assistant,14482,15164,Administrative Assistant,1.0,
Department for Transport,Government Office Network,GO West Midlands,GO062,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Transport,Government Office Network,GO West Midlands,GO062,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Transport,Government Office Network,GO West Midlands,GO062,Grade 7,44509,54946,Grade 7,3.0,
Home Office,Government Office Network,GO West Midlands,GO062,Grade 6,54490,67506,Grade 6,1.0,
Home Office,Government Office Network,GO West Midlands,GO062,Grade 7,44509,54946,Grade 7,2.0,
Home Office,Government Office Network,GO West Midlands,GO062,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO063,Executive Officer,19927,23582,Executive Officer,0.6,
Department for Business Innovation and Skills,Government Office Network,GO West Midlands,GO063,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO063,Administrative Officer,16457,18414,Administrative Officer,0.8,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO063,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO063,Grade 6,54490,67506,Grade 6,2.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO063,Grade 7,44509,54946,Grade 7,4.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO063,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO West Midlands,GO063,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO063,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO063,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO063,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO West Midlands,GO063,Personal Secretary,16457,18414,Personal Secretary,1.0,Recorded as AO level on organogram
Home Office,Government Office Network,GO West Midlands,GO063,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO064,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO064,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO064,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO064,Senior Executive Officer,32599,36177,Senior Executive Officer,3.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO064,Senior Personal Secretary,19927,23582,Senior Personal Secretary,1.0,Recorded as EO level on organogram
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO064,Administrative Officer,16457,18414,Administrative Officer,1.8,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO064,Executive Officer,19927,23582,Executive Officer,4.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO064,Grade 7,44509,54946,Grade 7,3.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO064,Higher Executive Officer,26676,29599,Higher Executive Officer,1.7,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO064,Senior Executive Officer,32599,36177,Senior Executive Officer,1.7,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO064,Senior Research Officer,40640,45139,Senior Research Officer,1.0,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO064,Grade 6,54490,67506,Grade 6,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO064,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO064,Higher Executive Officer,26676,29599,Higher Executive Officer,0.6,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO064,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Work and Pensions,Government Office Network,GO Yorkshire and Humber,GO064,Grade 6,54490,67506,Grade 6,1.0,
Home Office,Government Office Network,GO Yorkshire and Humber,GO064,Executive Officer,19927,23582,Executive Officer,1.0,
Home Office,Government Office Network,GO Yorkshire and Humber,GO064,Grade 6,54490,67506,Grade 6,1.0,
Home Office,Government Office Network,GO Yorkshire and Humber,GO064,Grade 7,44509,54946,Grade 7,1.7,
Home Office,Government Office Network,GO Yorkshire and Humber,GO064,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO065,Administrative Assistant,14482,15164,Administrative Assistant,0.3,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO065,Executive Officer,19927,23582,Executive Officer,0.5,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO065,Higher Executive Officer,26676,29599,Higher Executive Officer,3.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO065,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO065,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO065,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO065,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO065,Administrative Officer,16457,18414,Administrative Officer,1.7,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO065,Executive Officer,19927,23582,Executive Officer,2.5,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO065,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO065,Senior Executive Officer,32599,36177,Senior Executive Officer,1.6,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO065,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,1.0,Recorded as SEO level on organogram
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO065,Senior Research Officer,40640,45139,Senior Research Officer,1.0,Recorded as SEO level on organogram
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO065,Grade 7,44509,54946,Grade 7,0.8,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO065,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO066,Administrative Officer,16457,18414,Administrative Officer,1.3,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO066,Grade 7,44509,54946,Grade 7,1.8,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO066,Higher Executive Officer,26676,29599,Higher Executive Officer,1.5,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO066,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO066,Executive Officer,19927,23582,Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO066,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO066,Senior Professional & Technical Officer,40640,45139,Senior Professional & Technical Officer,1.0,Recorded as SEO level on organogram
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO066,Grade 7,44509,54946,Grade 7,1.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO066,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO066,Senior Executive Officer,32599,36177,Senior Executive Officer,1.8,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO066,Executive Officer,19927,23582,Executive Officer,2.0,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO066,Grade 7,44509,54946,Grade 7,1.0,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO066,Higher Professional & Technical Officer,31737,35255,Higher Professional & Technical Officer,1.0,Recorded as HEO level on organogram
Home Office,Government Office Network,GO Yorkshire and Humber,GO066,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO067,Administrative Officer,16457,18414,Administrative Officer,1.8,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO067,Executive Officer,19927,23582,Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO067,Grade 6,54490,67506,Grade 6,2.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO067,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO067,Higher Executive Officer,26676,29599,Higher Executive Officer,4.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO067,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO067,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO067,Grade 7,44509,54946,Grade 7,2.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO067,Senior Executive Officer,32599,36177,Senior Executive Officer,0.8,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO067,Senior Personal Secretary,19927,23582,Senior Personal Secretary,1.0,Recorded as EO level on organogram
Home Office,Government Office Network,GO Yorkshire and Humber,GO067,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Home Office,Government Office Network,GO Yorkshire and Humber,GO067,Senior Executive Officer,32599,36177,Senior Executive Officer,1.6,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO068,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO068,Grade 6,54490,67506,Grade 6,1.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO068,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO068,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO Yorkshire and Humber,GO068,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO068,Executive Officer,19927,23582,Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO068,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO068,Higher Executive Officer,26676,29599,Higher Executive Officer,0.8,
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO068,Higher Planning Officer,26676,29599,Higher Planning Officer,1.0,Recorded as HEO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO Yorkshire and Humber,GO068,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Administrative Officer,16457,18414,Administrative Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Grade 7,44509,54946,Grade 7,4.0,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Higher Executive Officer,26676,29599,Higher Executive Officer,5.6,
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Information Officer,28106,34602,Information Officer,1.0,Recorded as HEO level on organogram
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Senior Information Officer,37371,40767,Senior Information Officer,0.9,Recorded as SEO level on organogram
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Senior Planning Officer,40640,45139,Senior Planning Officer,3.0,Recorded as SEO level on organogram
Department for Communities and Local Government,Government Office Network,GO Yorkshire and Humber,GO068,Senior Research Officer,40640,45139,Senior Research Officer,1.0,Recorded as SEO level on organogram
"Department for Culture, Media and Sport",Government Office Network,GO Yorkshire and Humber,GO068,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO068,Executive Officer,19927,23582,Executive Officer,0.6,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO068,Grade 7,44509,54946,Grade 7,1.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO Yorkshire and Humber,GO068,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO068,Administrative Officer,16457,18414,Administrative Officer,0.5,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO068,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO068,Grade 7,44509,54946,Grade 7,2.0,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO068,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Transport,Government Office Network,GO Yorkshire and Humber,GO068,Senior Planning Officer,40640,45139,Senior Planning Officer,1.0,Recorded as SEO level on organogram
Home Office,Government Office Network,GO Yorkshire and Humber,GO068,Executive Officer,19927,23582,Executive Officer,2.0,
Home Office,Government Office Network,GO Yorkshire and Humber,GO068,Grade 7,44509,54946,Grade 7,1.0,
Home Office,Government Office Network,GO Yorkshire and Humber,GO068,HEO (D),27000,35000,HEO (D),1.0,HEO (D) staff are Fast Streamers
Home Office,Government Office Network,GO Yorkshire and Humber,GO068,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO069,Administrative Officer,19133,22095,Administrative Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO069,Executive Officer,22628,26958,Executive Officer,5.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO069,Grade 7,47556,59827,Grade 7,2.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO069,Higher Executive Officer,29289,33220,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO South East,GO069,Senior Executive Officer,35316,40071,Senior Executive Officer,3.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO069,Grade 6,57671,72548,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO069,Grade 7,47556,59827,Grade 7,4.4,
"Department for Children, Schools and Families",Government Office Network,GO South East,GO069,Senior Executive Officer,35316,40071,Senior Executive Officer,1.6,
Department for Communities and Local Government,Government Office Network,GO South East,GO069,Administrative Officer,19133,22095,Administrative Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO069,Grade 6,57671,72548,Grade 6,1.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO069,HEO (D),27000,35000,HEO (D),1.0,HEO (D) staff are Fast Streamers
Department for Communities and Local Government,Government Office Network,GO South East,GO069,Higher Executive Officer,29289,33220,Higher Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO South East,GO069,Senior Executive Officer,35316,40071,Senior Executive Officer,2.0,
"Department for Environment, Food and Rural Affairs",Government Office Network,GO South East,GO069,Grade 7,47556,59827,Grade 7,1.0,
Treasury,Government Office Network,GO South East,GO069,Senior Research Officer,42001,47550,Senior Research Officer,1.0,Recorded as SEO level on organogram
"Department for Children, Schools and Families",Government Office Network,GO North West,GO070,Grade 7,44509,54946,Grade 7,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO070,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
"Department for Children, Schools and Families",Government Office Network,GO North West,GO070,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO070,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Communities and Local Government,Government Office Network,GO North West,GO070,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
Department for Transport,Government Office Network,GO North West,GO070,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0,
Department for Work and Pensions,Government Office Network,GO North West,GO070,Grade 6,54490,67506,Grade 6,1.0,
Home Office,Government Office Network,GO North West,GO070,Executive Officer,19927,23582,Executive Officer,1.0,
Home Office,Government Office Network,GO North West,GO070,Grade 7,44509,54946,Grade 7,4.0,
Home Office,Government Office Network,GO North West,GO070,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO020,Executive Officer,19927,23582,Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO020,Grade 7,44509,54946,Grade 7,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO020,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0,
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO020,Senior Executive Officer,32599,36177,Senior Executive Officer,2.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO020,Grade 6,54490,67506,Grade 6,1.0,
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO020,Grade 7,44509,54946,Grade 7,2.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO020,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO020,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO020,Grade 7,44509,54946,Grade 7,1.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East Midlands,GO020,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Home Office,Government Office Network,GO East Midlands,GO020,Grade 7,44509,54946,Grade 7,1.0
Home Office,Government Office Network,GO East Midlands,GO020,Higher Executive Officer,26676,29599,Higher Executive Officer,1.0
Home Office,Government Office Network,GO East Midlands,GO020,Senior Executive Officer,32599,36177,Senior Executive Officer,0.8
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO022,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO022,Grade 7,44509,54946,Grade 7,1.0
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO022,Higher Executive Officer,26676,29599,Higher Executive Officer,1.6
Department for Business Innovation and Skills,Government Office Network,GO East Midlands,GO022,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO022,Executive Officer,19927,23582,Executive Officer,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO022,Grade 7,44509,54946,Grade 7,1.0
"Department for Children, Schools and Families",Government Office Network,GO East Midlands,GO022,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Administrative Officer,16457,18414,Administrative Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Executive Officer,19927,23582,Executive Officer,4.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Grade 6,54490,67506,Grade 6,0.8
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Grade 7,44509,54946,Grade 7,2.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Higher Executive Officer,26676,29599,Higher Executive Officer,1.8
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Higher Professional & Technical Officer,31737,35255,Higher Professional & Technical Officer,1.0
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Senior Executive Officer,32599,36177,Senior Executive Officer,2.9
Department for Communities and Local Government,Government Office Network,GO East Midlands,GO022,Senior Planning Officer,40640,45139,Senior Planning Officer,4.0
"Department for Environment, Food and Rural Affairs",Government Office Network,GO East Midlands,GO022,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
Department for Transport,Government Office Network,GO East Midlands,GO022,Executive Officer,19927,23582,Executive Officer,1.0
Department for Transport,Government Office Network,GO East Midlands,GO022,Grade 6,54490,67506,Grade 6,1.0
Department for Transport,Government Office Network,GO East Midlands,GO022,Grade 7,44509,54946,Grade 7,1.0
Department for Transport,Government Office Network,GO East Midlands,GO022,Higher Executive Officer,26676,29599,Higher Executive Officer,2.0
Department for Transport,Government Office Network,GO East Midlands,GO022,Senior Executive Officer,32599,36177,Senior Executive Officer,1.0
