Department family,Entity,Entered On,Supplier Name,Expense Type,Expense Area,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,06/01/2010,REMPHOTO LIMITED,Maintenance,Operations,10393,600
Communities And Local Government,Queen Elizabeth II Conference Centre,07/01/2010,CHRISTOPHER SHEAD T/A Global Idea,IT Equipment Maintenance,ITC Department,10396,1000
Communities And Local Government,Queen Elizabeth II Conference Centre,07/01/2010,THE PERFORMING RIGHT SOCIETY,Licence Costs,Administration,10397,541.7
Communities And Local Government,Queen Elizabeth II Conference Centre,07/01/2010,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,10399,577.13
Communities And Local Government,Queen Elizabeth II Conference Centre,08/01/2010,ASSOCIATION INTL CONGRESS CENT,Membership Subscriptions,Commercial,10400,1585.98
Communities And Local Government,Queen Elizabeth II Conference Centre,08/01/2010,LOUISA GLADWIN,Cost of Sales - Freelance Technicians,Interface,10404,693
Communities And Local Government,Queen Elizabeth II Conference Centre,08/01/2010,RS COMPONENTS LTD,IT Equipment Maintenance,ITC Department,10405,490.2
Communities And Local Government,Queen Elizabeth II Conference Centre,08/01/2010,THAMES WATER UTILITIES LTD,Water,Operations,10406,6600.34
Communities And Local Government,Queen Elizabeth II Conference Centre,08/01/2010,COMPLETE MEDIA GROUP,Advertising,Commercial,10407,955
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,GovNet Communications,Cost of Sales - Commission,Commercial,10413,651.2
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,GovNet Communications,Cost of Sales - Commission,Commercial,10415,1023.7
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,CONFERENCE CARE UK,Cost of Sales - Commission,Commercial,10416,1188.63
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BRITISH TELECOM,Cost of Sales - Telecommunications,ITC Department,10422,450.43
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,PLANTERIA GROUP (UK) LTD,Entertaining,Event Management,10425,240
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,PLANTERIA GROUP (UK) LTD,Marketing,Commercial,10425,240
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,Bosco O'Toole,Cost of Sales - Freelance Technicians,Interface,10426,600
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,WATTERSTON ASSOCIATES LTD,Marketing,Commercial,10429,1625
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,10430,33.4
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Mobile Phone Costs,Interface,10430,86.25
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Membership Subscriptions,Commercial,10430,60
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Travel,ITC Department,10430,16
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,10430,59.73
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,10430,16.25
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Entertaining,Administration,10430,15.2
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,10430,4241.08
Communities And Local Government,Queen Elizabeth II Conference Centre,11/01/2010,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,10430,139.09
Communities And Local Government,Queen Elizabeth II Conference Centre,12/01/2010,CCS MEDIA LTD,Maintenance,Operations,10431,3962
Communities And Local Government,Queen Elizabeth II Conference Centre,12/01/2010,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,10433,652.37
Communities And Local Government,Queen Elizabeth II Conference Centre,12/01/2010,GREATER LONDON HIRE LTD,Travel,Event Management,10435,476
Communities And Local Government,Queen Elizabeth II Conference Centre,12/01/2010,GREATER LONDON HIRE LTD,Travel,Interface,10435,105.55
Communities And Local Government,Queen Elizabeth II Conference Centre,12/01/2010,GREATER LONDON HIRE LTD,Travel,Operations,10435,39.23
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,REED LEARNING PLC,Training,Administration,10437,525
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,THE EXHIBITING AGENCY LTD,Exhibitions,Commercial,10438,2150
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,GovNet Communications,Cost of Sales - Commission,Interface,10441,500
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10442,1573
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10443,668.25
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10444,920.04
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,CUNDALL JOHNSTON & PARTNERS LLP,Consultants,Operations,10445,1344
Communities And Local Government,Queen Elizabeth II Conference Centre,14/01/2010,VOHM,Marketing,Commercial,10446,600
Communities And Local Government,Queen Elizabeth II Conference Centre,15/01/2010,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,10455,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,15/01/2010,VERIZON UK LIMITED,Marketing,Commercial,10456,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,15/01/2010,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,10456,1852
Communities And Local Government,Queen Elizabeth II Conference Centre,15/01/2010,Visit London Ltd,Exhibitions,Commercial,10461,4000
Communities And Local Government,Queen Elizabeth II Conference Centre,15/01/2010,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,10463,570
Communities And Local Government,Queen Elizabeth II Conference Centre,15/01/2010,AUDIOLINK LTD,IT Equipment Maintenance,ITC Department,10464,660
Communities And Local Government,Queen Elizabeth II Conference Centre,15/01/2010,AUDIOLINK LTD,IT Equipment Maintenance,ITC Department,10465,1534.5
Communities And Local Government,Queen Elizabeth II Conference Centre,18/01/2010,CORONA ENERGY,Gas,Operations,10466,11859.54
Communities And Local Government,Queen Elizabeth II Conference Centre,18/01/2010,Leith's at the Centre,Marketing,Commercial,10468,4008.98
Communities And Local Government,Queen Elizabeth II Conference Centre,18/01/2010,BETTER SOUND LIMITED,Cost of Sales - Equipment Hire,Interface,10472,460.1
Communities And Local Government,Queen Elizabeth II Conference Centre,18/01/2010,BETTER SOUND LIMITED,Cost of Sales - Equipment Hire,Interface,10474,923.5
Communities And Local Government,Queen Elizabeth II Conference Centre,18/01/2010,CHRIS BROWN COMMUNICATIONS LTD,Consultants,Administration,10476,500
Communities And Local Government,Queen Elizabeth II Conference Centre,18/01/2010,GLAZING REFURBISHMENT LTD,Maintenance,Operations,10477,2100
Communities And Local Government,Queen Elizabeth II Conference Centre,21/01/2010,FORMARA LIMITED,Stationery,Event Management,10485,1587
Communities And Local Government,Queen Elizabeth II Conference Centre,21/01/2010,Conference Call,Cost of Sales - Commission,Commercial,10488,467.9
Communities And Local Government,Queen Elizabeth II Conference Centre,21/01/2010,VIV BROUGHTON,Advertising,Commercial,10489,750
Communities And Local Government,Queen Elizabeth II Conference Centre,21/01/2010,NYS Corporate Limited,Cost of Sales - Commission,Commercial,10491,2897.09
Communities And Local Government,Queen Elizabeth II Conference Centre,22/01/2010,MOORE PEOPLE KENNER LTD,Agency Labour,Event Management,10492,1026
Communities And Local Government,Queen Elizabeth II Conference Centre,22/01/2010,DENE UNSWORTH,Cost of Sales - Freelance Technicians,Interface,10493,439
Communities And Local Government,Queen Elizabeth II Conference Centre,22/01/2010,TERRY TEW SOUND & LIGHT,Cost of Sales - Equipment Hire,Interface,10497,1444.5
Communities And Local Government,Queen Elizabeth II Conference Centre,22/01/2010,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10498,608
Communities And Local Government,Queen Elizabeth II Conference Centre,22/01/2010,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,10503,2695
Communities And Local Government,Queen Elizabeth II Conference Centre,22/01/2010,SHIELD PEST CONTROL,Maintenance,Operations,10504,447.8
Communities And Local Government,Queen Elizabeth II Conference Centre,25/01/2010,JIM COUGHLAN VISUAL COMM. LTD,Cost of Sales - Freelance Technicians,Interface,10505,800
Communities And Local Government,Queen Elizabeth II Conference Centre,25/01/2010,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,10506,42319.24
Communities And Local Government,Queen Elizabeth II Conference Centre,26/01/2010,COMPLETE MEDIA GROUP,Advertising,Commercial,10509,3592
Communities And Local Government,Queen Elizabeth II Conference Centre,26/01/2010,THE KEW WORKSHOP COMPANY LTD,Maintenance,Interface,10511,1000
Communities And Local Government,Queen Elizabeth II Conference Centre,26/01/2010,MATT PHILLIPS,Cost of Sales - Freelance Technicians,Interface,10513,600
Communities And Local Government,Queen Elizabeth II Conference Centre,27/01/2010,KRYSTELINE GROUP LTD,Maintenance,Operations,10514,978.48
Communities And Local Government,Queen Elizabeth II Conference Centre,28/01/2010,SGS UNITED KINGDOM LTD,Consultants,Operations,10519,772
Communities And Local Government,Queen Elizabeth II Conference Centre,28/01/2010,LOUISA GLADWIN,Cost of Sales - Freelance Technicians,Interface,10524,608
Communities And Local Government,Queen Elizabeth II Conference Centre,28/01/2010,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,10526,735.18
Communities And Local Government,Queen Elizabeth II Conference Centre,01/02/2010,Leith's at the Centre,Marketing,Commercial,10532,981.5
Communities And Local Government,Queen Elizabeth II Conference Centre,01/02/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10535,41519.79
Communities And Local Government,Queen Elizabeth II Conference Centre,01/02/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10536,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,01/02/2010,BPR GROUP EUROPE LTD,Disposal Of Waste,Operations,10537,3078.3
Communities And Local Government,Queen Elizabeth II Conference Centre,02/02/2010,CUNDALL JOHNSTON & PARTNERS LLP,Consultants,Operations,10541,4500
Communities And Local Government,Queen Elizabeth II Conference Centre,02/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10545,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,02/02/2010,Marmalade On Toast,Marketing,Commercial,10547,500
Communities And Local Government,Queen Elizabeth II Conference Centre,02/02/2010,Marmalade On Toast,Marketing,Commercial,10548,500
Communities And Local Government,Queen Elizabeth II Conference Centre,02/02/2010,BPR GROUP EUROPE LTD,Disposal Of Waste,Operations,10549,516
Communities And Local Government,Queen Elizabeth II Conference Centre,02/02/2010,MATTHEW WILDE,Cost of Sales - Freelance Technicians,Interface,10555,616
Communities And Local Government,Queen Elizabeth II Conference Centre,02/02/2010,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,10561,804.35
Communities And Local Government,Queen Elizabeth II Conference Centre,03/02/2010,SPACEWORKS and WELL DRESSED TABLES,Cost of Sales - Equipment Hire,Event Management,10563,1235
Communities And Local Government,Queen Elizabeth II Conference Centre,03/02/2010,FRIDAY'S MEDIA GROUP LIMITED,Marketing,Commercial,10565,2510
Communities And Local Government,Queen Elizabeth II Conference Centre,03/02/2010,INSIGHT DIRECT UK LTD,IT Equipment Maintenance,ITC Department,10571,2100.44
Communities And Local Government,Queen Elizabeth II Conference Centre,04/02/2010,EDF ENERGY,Electricity,Operations,10572,27251.55
Communities And Local Government,Queen Elizabeth II Conference Centre,04/02/2010,GALLOWGLASS LIMITED,Cost of Sales - Time & Labour,Event Management,10574,470
Communities And Local Government,Queen Elizabeth II Conference Centre,04/02/2010,VOHM,Marketing,Commercial,10575,600
Communities And Local Government,Queen Elizabeth II Conference Centre,05/02/2010,THAMES WATER UTILITIES LTD,Water,Operations,10577,5553.81
Communities And Local Government,Queen Elizabeth II Conference Centre,05/02/2010,INSIGHT DIRECT UK LTD,IT Equipment Maintenance,ITC Department,10580,1087.94
Communities And Local Government,Queen Elizabeth II Conference Centre,05/02/2010,INSIGHT DIRECT UK LTD,IT Equipment Maintenance,ITC Department,10581,1249.99
Communities And Local Government,Queen Elizabeth II Conference Centre,05/02/2010,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10582,616
Communities And Local Government,Queen Elizabeth II Conference Centre,05/02/2010,MOORE PEOPLE KENNER LTD,Cost of Sales - Time & Labour,Event Management,10584,1276
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,GREATER LONDON HIRE LTD,Travel,ITC Department,10592,49.36
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,GREATER LONDON HIRE LTD,Travel,Operations,10592,113.26
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,GREATER LONDON HIRE LTD,Travel,Event Management,10592,942.71
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,GREATER LONDON HIRE LTD,Travel,Interface,10592,39.23
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,Central Hall Westminter Ltd,Marketing,Commercial,10593,1068.4
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,Jude Cosway Consultancy Services,Consultants,Commercial,10594,1050
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10596,6043.4
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10597,924
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10598,924
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10599,3822.5
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10600,3883
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10601,3598.1
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10602,3839
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10603,1597.2
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10604,528
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,10605,3555
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,EVE TRAKWAY LTD,Cost of Sales - Contract Labour,Operations,10607,3000
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,VERIZON UK LIMITED,Cost of Sales - Telecommunications,ITC Department,10608,510.56
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,MERCURY AV LIMITED,Maintenance,Interface,10609,499.56
Communities And Local Government,Queen Elizabeth II Conference Centre,08/02/2010,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10610,631
Communities And Local Government,Queen Elizabeth II Conference Centre,10/02/2010,BRITISH TELECOM,Cost of Sales - Telecommunications,ITC Department,10611,2093.97
Communities And Local Government,Queen Elizabeth II Conference Centre,10/02/2010,REED LEARNING PLC,Training,Administration,10614,1250
Communities And Local Government,Queen Elizabeth II Conference Centre,10/02/2010,REDSTONE CONVERGED SOLUTIONS LTD,Cost of Sales - Telecommunications,ITC Department,10617,4877.05
Communities And Local Government,Queen Elizabeth II Conference Centre,10/02/2010,VERIZON UK LIMITED,Cost of Sales - Equipment Hire,ITC Department,10619,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,10/02/2010,MERCURY AV LIMITED,Office Move,Commercial,10620,489.36
Communities And Local Government,Queen Elizabeth II Conference Centre,10/02/2010,DAVID BOYCE,Cost of Sales - Freelance Technicians,Interface,10621,631
Communities And Local Government,Queen Elizabeth II Conference Centre,10/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10622,2644.95
Communities And Local Government,Queen Elizabeth II Conference Centre,11/02/2010,WORKING WALL LIMITED,Office Move,Commercial,10625,1105
Communities And Local Government,Queen Elizabeth II Conference Centre,11/02/2010,A PERTON SIGNS LIMITED,Cost of Sales - Freelance Technicians,Interface,10627,135
Communities And Local Government,Queen Elizabeth II Conference Centre,11/02/2010,A PERTON SIGNS LIMITED,Marketing,Commercial,10627,274
Communities And Local Government,Queen Elizabeth II Conference Centre,11/02/2010,A PERTON SIGNS LIMITED,Cost of Sales - Sets,Interface,10627,4712
Communities And Local Government,Queen Elizabeth II Conference Centre,11/02/2010,A PERTON SIGNS LIMITED,Cost of Sales - Signage,Interface,10627,3889
Communities And Local Government,Queen Elizabeth II Conference Centre,11/02/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10628,3361.7
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,FIRST NETWORK LTD,Cost of Sales - Equipment Hire,Interface,10631,3644.8
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,VERIZON UK LIMITED,Marketing,Commercial,10632,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,VERIZON UK LIMITED,Internet & Telecomms,ITC Department,10632,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,REED LEARNING PLC,Training,Administration,10633,525
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,REED LEARNING PLC,Training,Administration,10634,3400
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,CAPITA BUSINESS SERVICES LTD,Training,Administration,10635,499
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,GALLOWGLASS LIMITED,Cost of Sales - Time & Labour,Event Management,10636,470
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,THOMPSON ELECTRICAL SERVICES,Building Improvements,Operations,10637,1173.8
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,Flights Conference Services Ltd,Cost of Sales - Commission,Commercial,10638,5341.8
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Postage Stamps,Business Centre,10639,108.81
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,IT Equipment Maintenance,ITC Department,10639,4066.16
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,Interface,10639,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Internet & Telecomms,ITC Department,10639,60.47
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Travel,ITC Department,10639,48
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Cost of Sales - Equipment Hire,ITC Department,10639,18.59
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Maintenance,Operations,10639,1347.02
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Stationery,Event Management,10639,293.4
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Maintenance,Interface,10639,105
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Travel,Interface,10639,1674.18
Communities And Local Government,Queen Elizabeth II Conference Centre,12/02/2010,BARCLAYCARD PROCUREMENT CARD,Travel,ITC Department,10639,179
Communities And Local Government,Queen Elizabeth II Conference Centre,16/02/2010,EVE TRAKWAY LTD,Cost of Sales - Equipment Hire,Operations,10645,450
Communities And Local Government,Queen Elizabeth II Conference Centre,16/02/2010,DULUX DECORATOR CENTRE,Maintenance,Operations,10648,665.96
Communities And Local Government,Queen Elizabeth II Conference Centre,16/02/2010,ALDRIDGE SECURITY LTD,Maintenance,Operations,10649,494.91
Communities And Local Government,Queen Elizabeth II Conference Centre,16/02/2010,COMMERCIAL HANGERS LTD,Maintenance,Operations,10650,930
Communities And Local Government,Queen Elizabeth II Conference Centre,16/02/2010,CCS MEDIA LTD,IT Equipment Maintenance,ITC Department,10653,962.95
Communities And Local Government,Queen Elizabeth II Conference Centre,16/02/2010,ANNODATA BUSINESS COMMUNICATIO,IT & Telecom Equipment,Operations,10654,5629.6
Communities And Local Government,Queen Elizabeth II Conference Centre,18/02/2010,THOMPSON ELECTRICAL SERVICES,Maintenance,Operations,10655,6117
Communities And Local Government,Queen Elizabeth II Conference Centre,18/02/2010,CAPITA BUSINESS SERVICES LTD,Training,Administration,10657,764.15
Communities And Local Government,Queen Elizabeth II Conference Centre,18/02/2010,VITESSE PLC,Consumables,ITC Department,10660,1612.3
Communities And Local Government,Queen Elizabeth II Conference Centre,18/02/2010,GALLOWGLASS LIMITED,Cost of Sales - Time & Labour,Event Management,10661,470
Communities And Local Government,Queen Elizabeth II Conference Centre,18/02/2010,COMPLETE MEDIA GROUP,Advertising,Commercial,10663,5660
Communities And Local Government,Queen Elizabeth II Conference Centre,18/02/2010,CORONA ENERGY,Gas,Operations,10664,11453.74
Communities And Local Government,Queen Elizabeth II Conference Centre,19/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10665,1690.3
Communities And Local Government,Queen Elizabeth II Conference Centre,19/02/2010,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,10666,448.27
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,INTERACTION MEDIA LTD,Advertising,Commercial,10673,4070.74
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,VITESSE PLC,Consumables,ITC Department,10674,1119.6
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,SERVICE GRAPHICS LTD,Operational Equipment,Operations,10676,7700
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,GovNet Communications,Cost of Sales - Commission,Commercial,10678,1023.7
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,GovNet Communications,Cost of Sales - Commission,Commercial,10679,1112.7
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,Audit Costs,Administration,10681,4498.96
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Cost of Sales - Contract Labour,Operations,10682,17570.29
Communities And Local Government,Queen Elizabeth II Conference Centre,22/02/2010,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,10682,1451.17
Communities And Local Government,Queen Elizabeth II Conference Centre,24/02/2010,PLANTERIA GROUP (UK) LTD,Maintenance,Operations,10689,4075.05
Communities And Local Government,Queen Elizabeth II Conference Centre,25/02/2010,GovNet Communications,Cost of Sales - Commission,Commercial,10692,1127
Communities And Local Government,Queen Elizabeth II Conference Centre,25/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10695,3300
Communities And Local Government,Queen Elizabeth II Conference Centre,25/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10696,13970
Communities And Local Government,Queen Elizabeth II Conference Centre,25/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10697,2194.5
Communities And Local Government,Queen Elizabeth II Conference Centre,25/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10698,2041.12
Communities And Local Government,Queen Elizabeth II Conference Centre,25/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10699,1627.23
Communities And Local Government,Queen Elizabeth II Conference Centre,25/02/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10701,16410.9
Communities And Local Government,Queen Elizabeth II Conference Centre,01/03/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Cost of Sales - Mini Shifts,Event Management,10704,1500
Communities And Local Government,Queen Elizabeth II Conference Centre,01/03/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10705,41519.79
Communities And Local Government,Queen Elizabeth II Conference Centre,01/03/2010,GBM SERVICES LIMITED,Cleaners & Porters,Event Management,10706,4398.25
Communities And Local Government,Queen Elizabeth II Conference Centre,01/03/2010,BYWATERS (LEYTON) LTD,Disposal Of Waste,Operations,10707,646.85
Communities And Local Government,Queen Elizabeth II Conference Centre,01/03/2010,WORKING WALL LIMITED,Video Equipment,Interface,10713,13440.18
Communities And Local Government,Queen Elizabeth II Conference Centre,01/03/2010,WORKING WALL LIMITED,Audio Visual Equipment,Interface,10713,4800
Communities And Local Government,Queen Elizabeth II Conference Centre,01/03/2010,LOCK ON PRODUCTIONS LTD,Cost of Sales - Equipment Hire,Interface,10714,3650
Communities And Local Government,Queen Elizabeth II Conference Centre,02/03/2010,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,Maintenance,Operations,10717,54547.96
Communities And Local Government,Queen Elizabeth II Conference Centre,02/03/2010,"ISS Facility Services Ltd
T/A ISS Pegasus Security",Security,Operations,10718,42319.24
Communities And Local Government,Queen Elizabeth II Conference Centre,02/03/2010,GovNet Communications,Cost of Sales - Commission,Interface,10720,450
Communities And Local Government,Queen Elizabeth II Conference Centre,02/03/2010,Leith's at the Centre,Entertaining,Administration,10730,778.78
Communities And Local Government,Queen Elizabeth II Conference Centre,02/03/2010,Leith's at the Centre,Leith's Receipts,Finance,10731,1292.5
Communities And Local Government,Queen Elizabeth II Conference Centre,02/03/2010,CHRIS BRAUN,Cost of Sales - Freelance Technicians,Interface,10737,727
Communities And Local Government,Queen Elizabeth II Conference Centre,02/03/2010,JIM COUGHLAN VISUAL COMM. LTD,Cost of Sales - Freelance Technicians,Interface,10738,496
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,GROSVENOR CONTRACTS (LONDON) L,Maintenance,Operations,10741,1037.46
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,EDF ENERGY,Electricity,Operations,10742,25150.01
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,Jude Cosway Consultancy Services,Consultants,Commercial,10744,1830
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,Lychee3 Solutions Ltd,Marketing,Commercial,10745,300
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,Lychee3 Solutions Ltd,Consultants,Commercial,10745,3000
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,CHRISTOPHER SHEAD T/A Global Idea,Cost of Sales - Freelance Technicians,Interface,10752,664
Communities And Local Government,Queen Elizabeth II Conference Centre,04/03/2010,CHRISTOPHER SHEAD T/A Global Idea,Maintenance,Interface,10752,200
